ref,value,footprint
C1,4.7uF,~
C2,0.1uF,~
D1,LED,~
D3,3.6,~
D4,3.6,~
IC1,ATTINY85-P,DIP8
K1,CONN_3,
P1,CONN_6,
R1,330,~
R2,1k,~
R3,68,~
R4,68,~
R6,330,~
R7,330,~
R8,330,~
SW1,SPST,~
U1,USB_PCB,
U3,TRILED,
